"","Project.ID","Borough","MedianActualRent","BedroomSize"
"1",59474,"Manhattan",885,"2-BR"
"2",59474,"Manhattan",822.5,"1-BR"
"3",58891,"Manhattan",887,"2-BR"
"4",58891,"Manhattan",882,"2-BR"
"5",58891,"Manhattan",844,"2-BR"
"6",58891,"Manhattan",906,"STUDIO"
"7",58891,"Manhattan",867,"STUDIO"
"8",58891,"Manhattan",987,"3-BR"
"9",58891,"Manhattan",843,"1-BR"
"10",58891,"Manhattan",859,"3-BR"
"11",58891,"Manhattan",843,"3-BR"
"12",58891,"Manhattan",882,"1-BR"
"13",58891,"Manhattan",987,"3-BR"
"14",58891,"Manhattan",871,"3-BR"
"15",58891,"Manhattan",911,"3-BR"
"16",58891,"Manhattan",1390,"3-BR"
"17",58891,"Manhattan",1288.5,"3-BR"
"18",58891,"Manhattan",1305,"3-BR"
"19",58891,"Manhattan",1019.5,"2-BR"
"20",58891,"Manhattan",747,"1-BR"
"21",58891,"Manhattan",884,"STUDIO"
"22",58891,"Manhattan",792,"STUDIO"
"23",58891,"Manhattan",781,"1-BR"
"24",58891,"Manhattan",1257,"2-BR"
"25",58891,"Manhattan",955.5,"2-BR"
"26",58891,"Manhattan",1152,"2-BR"
"27",58891,"Manhattan",806.5,"2-BR"
"28",58891,"Manhattan",769,"1-BR"
"29",58891,"Manhattan",1058.5,"2-BR"
"30",58891,"Manhattan",0,"2-BR"
"31",58891,"Manhattan",1026.5,"2-BR"
"32",58891,"Manhattan",970,"2-BR"
"33",58891,"Manhattan",680,"2-BR"
"34",58891,"Manhattan",940,"2-BR"
"35",58891,"Manhattan",878,"STUDIO"
"36",58891,"Manhattan",822,"2-BR"
"37",58891,"Manhattan",816,"2-BR"
"38",58891,"Manhattan",397,"2-BR"
"39",58891,"Manhattan",719,"1-BR"
"40",58891,"Manhattan",829,"1-BR"
"41",58891,"Manhattan",950,"1-BR"
"42",58891,"Manhattan",878,"STUDIO"
"43",58891,"Manhattan",759,"2-BR"
"44",58891,"Manhattan",931,"1-BR"
"45",52674,"Manhattan",1064,"1-BR"
"46",52674,"Manhattan",1093.5,"2-BR"
"47",52674,"Manhattan",1608,"4-BR"
"48",52674,"Manhattan",1583,"4-BR"
"49",52674,"Manhattan",1025,"2-BR"
"50",52674,"Manhattan",952,"1-BR"
"51",52674,"Manhattan",889,"2-BR"
"52",52674,"Manhattan",797,"1-BR"
"53",52674,"Manhattan",850,"1-BR"
"54",52674,"Manhattan",1146,"2-BR"
"55",52674,"Manhattan",780,"2-BR"
"56",52674,"Manhattan",865.5,"1-BR"
"57",51143,"Manhattan",1293,"1-BR"
"58",51143,"Manhattan",739,"3-BR"
"59",51143,"Manhattan",824,"2-BR"
"60",51143,"Manhattan",886.5,"2-BR"
"61",51143,"Manhattan",703,"1-BR"
"62",51143,"Manhattan",1085,"2-BR"
"63",51143,"Manhattan",810,"2-BR"
"64",51143,"Manhattan",1148,"3-BR"
"65",51143,"Manhattan",1319,"1-BR"
"66",51143,"Manhattan",1293,"1-BR"
"67",51143,"Manhattan",815.5,"2-BR"
"68",51143,"Manhattan",904,"1-BR"
"69",63941,"Manhattan",2520,"2-BR"
"70",63941,"Manhattan",2649,"2-BR"
"71",63941,"Manhattan",2089,"1-BR"
"72",63941,"Manhattan",1995,"1-BR"
"73",63845,"Manhattan",0,"2-BR"
"74",63845,"Manhattan",1029,"2-BR"
"75",63845,"Manhattan",670,"2-BR"
"76",63845,"Manhattan",647,"2-BR"
"77",63845,"Manhattan",964,"2-BR"
"78",63845,"Manhattan",717,"3-BR"
"79",63845,"Manhattan",1176,"3-BR"
"80",63845,"Manhattan",1144,"3-BR"
"81",63845,"Manhattan",1050,"2-BR"
"82",63845,"Manhattan",767,"3-BR"
"83",63845,"Manhattan",701,"2-BR"
"84",60000,"Manhattan",1515,"STUDIO"
"85",63845,"Manhattan",499,"STUDIO"
"86",63845,"Manhattan",1398,"1-BR"
"87",63845,"Manhattan",1518,"4-BR"
"88",63845,"Manhattan",1240,"3-BR"
"89",63845,"Manhattan",819,"4-BR"
"90",63845,"Manhattan",581,"1-BR"
"91",63845,"Manhattan",627,"2-BR"
"92",63845,"Manhattan",1239,"3-BR"
"93",63845,"Manhattan",1034,"1-BR"
"94",63845,"Manhattan",689,"3-BR"
"95",53551,"Manhattan",929,"2-BR"
"96",53551,"Manhattan",1066,"3-BR"
"97",53551,"Manhattan",768,"1-BR"
"98",53551,"Manhattan",715,"STUDIO"
"99",63845,"Manhattan",940,"1-BR"
"100",63845,"Manhattan",671.5,"2-BR"
"101",63845,"Manhattan",965.5,"2-BR"
"102",48650,"Manhattan",1200,"3-BR"
"103",53551,"Manhattan",768,"1-BR"
"104",53551,"Manhattan",929,"2-BR"
"105",53551,"Manhattan",715,"STUDIO"
"106",59474,"Manhattan",1045,"1-BR"
"107",59474,"Manhattan",750,"1-BR"
"108",59474,"Manhattan",1115,"2-BR"
"109",59474,"Manhattan",571,"1-BR"
"110",59474,"Manhattan",1535,"2-BR"
"111",59474,"Manhattan",1293,"2-BR"
"112",59474,"Manhattan",622,"1-BR"
"113",59474,"Manhattan",634,"STUDIO"
"114",59474,"Manhattan",938,"1-BR"
"115",59474,"Manhattan",926.5,"2-BR"
"116",59474,"Manhattan",1172,"3-BR"
"117",59474,"Manhattan",849,"STUDIO"
"118",59474,"Manhattan",998,"1-BR"
"119",59474,"Manhattan",1063,"2-BR"
"120",59474,"Manhattan",1008.5,"STUDIO"
"121",59474,"Manhattan",1394.5,"2-BR"
"122",59474,"Manhattan",866.5,"1-BR"
"123",59474,"Manhattan",766.5,"3-BR"
"124",59474,"Manhattan",1034.5,"2-BR"
"125",59474,"Manhattan",739.5,"2-BR"
"126",59474,"Manhattan",781,"3-BR"
"127",59474,"Manhattan",931,"2-BR"
"128",59474,"Manhattan",1223,"2-BR"
"129",59474,"Manhattan",770.5,"3-BR"
"130",59474,"Manhattan",1069,"3-BR"
"131",59474,"Manhattan",920,"2-BR"
"132",59474,"Manhattan",1362,"3-BR"
"133",59474,"Manhattan",949.5,"2-BR"
"134",59474,"Manhattan",949.5,"2-BR"
"135",59474,"Manhattan",1020.5,"3-BR"
"136",59474,"Manhattan",1020.5,"3-BR"
"137",59474,"Manhattan",933,"2-BR"
"138",59474,"Manhattan",933,"2-BR"
"139",59474,"Manhattan",667.5,"3-BR"
"140",59474,"Manhattan",536.5,"STUDIO"
"141",59474,"Manhattan",667.5,"3-BR"
"142",59474,"Manhattan",536.5,"STUDIO"
"143",58891,"Manhattan",884,"1-BR"
"144",58891,"Manhattan",738,"STUDIO"
"145",58891,"Manhattan",857,"STUDIO"
"146",58891,"Manhattan",676,"2-BR"
"147",58891,"Manhattan",846,"1-BR"
"148",58891,"Manhattan",759,"2-BR"
"149",59474,"Manhattan",1066,"2-BR"
"150",59474,"Manhattan",1094,"3-BR"
"151",59474,"Manhattan",807,"1-BR"
"152",59474,"Manhattan",1589,"2-BR"
"153",59474,"Manhattan",1101,"3-BR"
"154",58891,"Manhattan",817.5,"STUDIO"
"155",58891,"Manhattan",800,"1-BR"
"156",58891,"Manhattan",780.5,"STUDIO"
"157",58891,"Manhattan",887,"1-BR"
"158",58891,"Manhattan",876.5,"STUDIO"
"159",58891,"Manhattan",824,"1-BR"
"160",58891,"Manhattan",847,"STUDIO"
"161",58891,"Manhattan",919,"2-BR"
"162",58891,"Manhattan",801.5,"1-BR"
